date = 2022/02/30
apparatus = Rockwell Retro Encabulator
time encabulation
0.0000 -0.0590
0.0193 0.0165
0.0387 0.0094
0.0580 0.0190
0.0773 -0.0445
0.0966 0.0173
0.1158 0.0230
0.1351 -0.0307
0.1543 0.0237
0.1735 0.0756
0.1928 0.0441
0.2120 -0.0139
0.2311 0.0184
0.2503 0.0662
0.2695 -0.0457
0.2886 -0.0699
0.3077 -0.0330
0.3269 -0.0116
0.3460 0.1239
0.3651 -0.0437
0.3841 0.1123
0.4032 0.1264
0.4223 0.0427
0.4413 0.0094
0.4603 0.0139
0.4794 0.0218
0.4984 0.1125
0.5174 0.0685
0.5364 0.0399
0.5553 0.0263
0.5743 0.0518
0.5933 -0.0375
0.6122 0.0002
0.6312 -0.0270
0.6501 0.0183
0.6690 -0.0342
0.6879 -0.0151
0.7068 0.0790
0.7257 0.0306
0.7446 0.0665
0.7634 0.0168
0.7823 0.0391
0.8012 0.1072
0.8200 -0.0413
0.8388 -0.0176
0.8577 0.0542
0.8765 0.0718
0.8953 0.0151
0.9141 0.1545
0.9329 -0.0118
0.9517 0.1704
0.9705 0.0323
0.9892 0.0449
1.0080 0.0489
1.0268 0.0499
1.0455 -0.0371
1.0643 0.0313
1.0830 -0.0080
1.1017 0.0125
1.1205 0.0734
1.1392 0.1648
1.1579 0.1295
1.1766 0.1104
1.1953 0.1220
1.2140 -0.0040
1.2327 0.0561
1.2514 0.0812
1.2701 0.0034
1.2888 0.0115
1.3075 -0.0129
1.3261 0.0867
1.3448 0.0193
1.3635 -0.0059
1.3822 0.0183
1.4008 0.1140
1.4195 0.0211
1.4381 0.0322
1.4568 0.0867
1.4754 0.1417
1.4941 0.0740
1.5127 0.0327
1.5314 0.1251
1.5500 0.0080
1.5686 -0.0059
1.5873 -0.1070
1.6059 0.0432
1.6245 0.0740
1.6432 0.0715
1.6618 0.0987
1.6804 -0.0391
1.6990 0.1326
1.7177 0.1109
1.7363 0.0316
1.7549 0.0523
1.7736 0.1429
1.7922 0.1728
1.8108 -0.0642
1.8294 0.0703
1.8481 0.1296
1.8667 0.0808
1.8853 0.0143
1.9039 0.0915
1.9226 0.0321
1.9412 -0.0135
1.9598 -0.0151
1.9785 0.0824
1.9971 0.0582
2.0158 0.0242
2.0344 0.0959
2.0530 0.0343
2.0717 0.0999
2.0903 0.0580
2.1090 0.0757
2.1276 -0.0041
2.1463 0.1201
2.1650 0.1316
2.1836 0.0639
2.2023 -0.0077
2.2210 0.0061
2.2396 0.0622
2.2583 0.0217
2.2770 0.0427
2.2957 0.0371
2.3144 0.0250
2.3331 0.1369
2.3518 0.1546
2.3705 0.0364
2.3892 0.1382
2.4079 0.0986
2.4266 0.0407
2.4454 0.0347
2.4641 0.0571
2.4828 0.1485
2.5016 0.0959
2.5203 0.0001
2.5391 0.0865
2.5579 0.0849
2.5766 0.0301
2.5954 0.1020
2.6142 0.0360
2.6330 -0.0210
2.6518 0.1289
2.6706 0.1374
2.6894 -0.0411
2.7083 0.1630
2.7271 0.1546
2.7459 0.0987
2.7648 0.1504
2.7836 0.1105
2.8025 0.1221
2.8214 0.0950
2.8403 0.1401
2.8592 0.0884
2.8781 0.0530
2.8970 0.1405
2.9159 0.1262
2.9349 0.1021
2.9538 0.0038
2.9728 0.0179
2.9917 0.1651
3.0107 0.1000
3.0297 0.0668
3.0487 0.0527
3.0677 0.1879
3.0867 0.0030
3.1058 0.1191
3.1248 0.0531
3.1439 0.1145
3.1629 0.0639
3.1820 0.0770
3.2011 0.1316
3.2202 0.0954
3.2393 0.1080
3.2584 0.1136
3.2776 0.1914
3.2967 0.1165
3.3159 0.1151
3.3351 0.0138
3.3543 0.0631
3.3735 0.0703
3.3927 0.0234
3.4120 0.0419
3.4312 0.1274
3.4505 0.1298
3.4698 0.1368
3.4891 0.0690
3.5084 0.1329
3.5277 0.1051
3.5470 0.0654
3.5664 0.0873
3.5858 0.1666
3.6052 0.1529
3.6246 0.2064
3.6440 0.1267
3.6634 0.0956
3.6828 0.0916
3.7023 0.0498
3.7217 0.0583
3.7412 0.1393
3.7606 0.1201
3.7801 0.1342
3.7995 0.0968
3.8190 0.0325
3.8384 0.1263
3.8578 0.1301
3.8773 0.1321
3.8967 0.1060
3.9161 0.1215
3.9355 0.1304
3.9549 0.1907
3.9742 0.0894
3.9936 0.1460
4.0129 0.2134
4.0322 0.0961
4.0515 0.1489
4.0707 0.2184
4.0899 0.1149
4.1091 -0.0014
4.1283 0.0625
4.1474 0.1596
4.1665 0.0770
4.1856 0.0398
4.2046 0.0936
4.2236 0.1975
4.2426 0.1833
4.2615 0.1120
4.2803 0.1332
4.2992 0.0677
4.3179 0.1715
4.3366 0.2029
4.3553 0.2367
4.3739 0.0790
4.3925 0.1751
4.4110 0.1407
4.4294 0.1125
4.4478 0.1358
4.4662 0.2627
4.4844 0.2534
4.5026 0.2445
4.5208 0.1641
4.5388 0.1527
4.5568 0.1320
4.5748 0.2078
4.5926 0.2195
4.6104 0.2217
4.6281 0.1758
4.6457 0.1995
4.6633 0.2194
4.6807 0.2132
4.6981 0.1742
4.7154 0.2385
4.7326 0.1924
4.7498 0.1291
4.7668 0.2037
4.7838 0.2344
4.8008 0.1723
4.8177 0.1517
4.8346 0.3343
4.8515 0.1138
4.8684 0.2298
4.8853 0.2131
4.9022 0.2512
4.9192 0.2745
4.9361 0.2190
4.9532 0.2182
4.9702 0.2388
4.9874 0.2942
5.0046 0.2760
5.0219 0.2439
5.0393 0.2512
5.0569 0.2541
5.0745 0.2798
5.0923 0.2582
5.1102 0.2735
5.1283 0.2806
5.1465 0.2573
5.1649 0.4042
5.1835 0.3343
5.2023 0.2780
5.2213 0.2750
5.2405 0.3859
5.2600 0.3771
5.2796 0.3395
5.2995 0.3316
5.3197 0.3149
5.3401 0.3191
5.3609 0.3154
5.3819 0.3561
5.4032 0.3603
5.4248 0.3266
5.4467 0.3261
5.4690 0.3929
5.4915 0.4714
5.5144 0.3549
5.5374 0.3426
5.5605 0.3359
5.5836 0.4272
5.6067 0.4060
5.6295 0.3866
5.6521 0.4948
5.6743 0.5033
5.6961 0.4262
5.7173 0.5303
5.7379 0.4485
5.7579 0.5443
5.7770 0.5355
5.7952 0.4559
