date = 2022/02/31
apparatus = Rockwell Micro Encabulator
time,encabulation
0.0000,0.0296
0.0218,0.0372
0.0435,-0.0045
0.0653,-0.0557
0.0870,0.0730
0.1087,0.0258
0.1304,0.0844
0.1521,0.0369
0.1737,-0.0294
0.1953,0.0844
0.2170,0.0093
0.2385,0.0085
0.2601,-0.0054
0.2817,0.0102
0.3032,0.0054
0.3248,0.1291
0.3463,0.0079
0.3678,0.0132
0.3892,0.0118
0.4107,0.0484
0.4322,0.0575
0.4536,0.0010
0.4750,0.0589
0.4964,-0.0179
0.5178,0.0520
0.5392,-0.0312
0.5606,-0.1220
0.5819,0.0787
0.6032,0.0108
0.6246,-0.0604
0.6459,-0.0102
0.6672,0.0046
0.6885,-0.0291
0.7098,0.0079
0.7311,-0.0239
0.7523,0.0420
0.7736,0.0534
0.7948,0.0086
0.8161,0.0072
0.8373,0.0843
0.8585,-0.0938
0.8797,-0.0394
0.9009,-0.0205
0.9221,0.0914
0.9433,-0.0755
0.9645,-0.0007
0.9856,0.0084
1.0068,-0.0375
1.0280,0.0109
1.0491,-0.0516
1.0703,-0.0127
1.0914,-0.0038
1.1125,-0.0134
1.1337,0.0064
1.1548,0.1110
1.1759,0.0656
1.1970,-0.0132
1.2182,0.0490
1.2393,0.0117
1.2604,0.0072
1.2815,-0.0006
1.3026,0.0133
1.3237,0.0537
1.3448,-0.0893
1.3659,0.1266
1.3870,-0.0382
1.4081,0.0562
1.4292,0.0264
1.4503,0.1512
1.4714,0.0363
1.4925,-0.0114
1.5136,0.0545
1.5347,-0.0203
1.5558,0.0653
1.5769,-0.0468
1.5980,0.0912
1.6191,0.0528
1.6402,0.0742
1.6613,-0.0238
1.6825,0.1176
1.7036,0.0275
1.7247,0.0683
1.7458,0.0430
1.7670,0.0534
1.7881,-0.0394
1.8093,0.0300
1.8304,0.0464
1.8516,-0.0001
1.8727,0.0189
1.8939,0.0600
1.9151,0.0056
1.9362,0.0296
1.9574,-0.0708
1.9786,0.0298
1.9998,0.0116
2.0210,0.0574
2.0423,0.0282
2.0635,0.0589
2.0847,0.0007
2.1060,0.0083
2.1272,0.0143
2.1485,0.0111
2.1698,0.0728
2.1911,0.0825
2.2124,0.0394
2.2337,-0.0037
2.2550,0.0272
2.2763,0.0170
2.2977,0.0728
2.3190,0.0151
2.3404,0.0408
2.3618,0.0773
2.3832,0.1357
2.4046,0.0590
2.4260,0.0719
2.4475,0.1251
2.4689,0.1432
2.4904,0.0906
2.5119,0.1149
2.5334,0.0464
2.5549,0.0782
2.5764,0.0272
2.5980,0.0572
2.6196,0.1060
2.6411,0.0178
2.6627,-0.0139
2.6844,0.0964
2.7060,0.0938
2.7276,0.0178
2.7493,0.0156
2.7710,0.0174
2.7927,0.0825
2.8145,0.0909
2.8362,0.0972
2.8580,0.1038
2.8798,0.1551
2.9016,0.1013
2.9234,0.1417
2.9453,0.0928
2.9671,0.1298
2.9890,0.0672
3.0109,0.1106
3.0328,0.0047
3.0547,0.0121
3.0767,0.1112
3.0986,0.1641
3.1205,0.1078
3.1425,0.1139
3.1644,0.1305
3.1864,-0.0011
3.2083,0.0920
3.2302,0.0905
3.2522,0.1464
3.2741,0.0724
3.2960,0.1552
3.3179,0.0991
3.3398,0.0747
3.3617,0.1154
3.3835,0.0346
3.4053,0.1765
3.4272,0.1417
3.4490,0.1994
3.4707,0.1547
3.4925,0.1707
3.5142,0.1549
3.5359,0.0602
3.5576,0.1594
3.5792,0.0184
3.6008,0.1098
3.6224,0.2110
3.6439,0.1840
3.6654,0.0810
3.6869,0.1704
3.7083,0.1923
3.7296,0.1834
3.7510,0.1384
3.7722,0.0620
3.7935,0.1986
3.8146,0.1044
3.8357,0.1480
3.8568,0.2305
3.8778,0.1076
3.8988,0.1858
3.9197,0.1838
3.9405,0.2250
3.9613,0.1434
3.9820,0.1803
4.0026,0.0944
4.0232,0.1585
4.0437,0.1659
4.0641,0.1323
4.0845,0.1797
4.1047,0.2036
4.1249,0.1771
4.1451,0.0379
4.1651,0.2851
4.1851,0.1424
4.2050,0.2061
4.2248,0.2741
4.2445,0.1714
4.2641,0.2988
4.2836,0.1577
4.3030,0.0639
4.3224,0.2797
4.3417,0.1162
4.3610,0.1903
4.3803,0.1519
4.3995,0.2370
4.4187,0.1344
4.4380,0.2327
4.4573,0.2196
4.4766,0.2896
4.4961,0.1269
4.5156,0.1996
4.5352,0.2419
4.5549,0.2149
4.5747,0.1924
4.5947,0.2162
4.6148,0.2556
4.6351,0.2468
4.6556,0.2523
4.6763,0.2697
4.6972,0.2633
4.7183,0.1534
4.7397,0.2645
4.7614,0.2959
4.7833,0.2660
4.8055,0.2562
4.8281,0.2611
4.8510,0.3112
4.8742,0.2500
4.8977,0.2624
4.9216,0.3659
4.9460,0.2948
4.9707,0.3313
4.9958,0.4292
5.0214,0.2996
5.0474,0.2759
5.0738,0.3218
5.1005,0.3761
5.1274,0.3062
5.1544,0.3436
5.1815,0.4615
5.2085,0.2679
5.2353,0.3017
5.2619,0.3556
5.2881,0.3525
5.3139,0.4259
5.3391,0.4074
5.3638,0.3643
5.3877,0.4413
5.4108,0.3828
5.4330,0.3146
5.4542,0.3976
5.4743,0.3643
5.4933,0.3375
5.5109,0.5292
5.5272,0.4997
5.5421,0.4439
5.5554,0.5151
5.5670,0.4755
5.5769,0.5606
5.5850,0.5341
5.5912,0.4929
5.5953,0.5922
5.5973,0.5190
5.5972,0.5537
5.5948,0.6126
5.5904,0.6659
5.5840,0.6673
5.5758,0.6933
5.5659,0.5995
5.5546,0.6593
5.5418,0.6110
5.5278,0.6102
5.5126,0.7784
5.4965,0.8069
5.4795,0.7400
5.4618,0.7993
5.4436,0.8167
5.4249,0.9614
5.4059,0.7705
5.3868,0.8241
5.3674,0.8677
5.3479,0.8255
5.3283,0.8482
5.3085,0.7439
5.2885,0.9039
5.2685,0.9198
5.2483,0.9477
5.2280,0.8141
5.2076,1.0043
5.1871,0.9294
5.1665,0.9055
5.1458,0.8883
5.1250,0.9539
5.1042,0.8765
5.0833,1.0131
5.0624,0.9316
5.0414,0.9132
5.0204,0.9996
4.9994,1.0397
4.9783,0.8477
4.9572,1.0432
4.9361,0.8939
4.9150,0.9900
4.8938,0.9829
4.8726,1.0152
4.8514,0.9407
4.8302,0.9168
4.8089,0.9432
4.7877,1.0204
4.7664,0.9700
4.7451,0.9648
4.7238,0.9401
4.7024,0.9409
4.6811,0.9997
4.6597,0.9952
4.6384,1.0288
4.6170,0.9708
4.5956,1.0032
4.5742,0.9486
4.5528,1.0896
4.5314,0.9887
4.5099,0.9698
4.4885,0.9375
4.4671,0.9772
4.4457,1.0591
4.4242,0.9435
4.4028,1.0564
4.3814,1.0164
4.3599,0.9343
4.3385,0.9487
4.3171,1.0941
4.2957,0.9604
4.2742,1.0603
4.2528,1.1072
4.2314,0.9278
4.2100,0.9610
4.1886,0.9320
4.1672,0.9992
4.1458,1.0228
4.1244,1.0345
4.1031,0.9994
4.0817,1.0055
4.0603,0.9899
4.0390,1.0517
4.0176,0.9907
3.9963,0.9473
