date = 2022/02/31
apparatus = Rockwell Micro Encabulator
time encabulation
0.0000 0.0221
0.0218 -0.0077
0.0435 -0.1145
0.0653 -0.0951
0.0870 0.0489
0.1087 -0.0404
0.1304 0.0446
0.1521 0.0677
0.1737 0.0261
0.1953 -0.0284
0.2170 0.0250
0.2385 -0.0088
0.2601 0.0129
0.2817 -0.0550
0.3032 -0.0327
0.3248 -0.0356
0.3463 0.0015
0.3678 -0.0516
0.3892 0.1025
0.4107 -0.0446
0.4322 0.0279
0.4536 -0.0224
0.4750 -0.0419
0.4964 0.0098
0.5178 0.0115
0.5392 0.0554
0.5606 -0.0084
0.5819 -0.0573
0.6032 0.1044
0.6246 -0.0412
0.6459 -0.1033
0.6672 0.1454
0.6885 0.0086
0.7098 0.0726
0.7311 0.0640
0.7523 -0.0387
0.7736 0.1081
0.7948 0.0955
0.8161 0.0035
0.8373 0.0519
0.8585 -0.0120
0.8797 0.1017
0.9009 -0.0111
0.9221 0.0097
0.9433 0.0338
0.9645 0.0020
0.9856 0.0918
1.0068 0.0021
1.0280 0.0143
1.0491 0.0341
1.0703 -0.0239
1.0914 0.0038
1.1125 -0.0227
1.1337 0.0493
1.1548 -0.0164
1.1759 -0.0298
1.1970 -0.0628
1.2182 -0.0185
1.2393 0.0521
1.2604 -0.0638
1.2815 0.0902
1.3026 0.1212
1.3237 -0.0562
1.3448 0.1049
1.3659 0.0468
1.3870 -0.0423
1.4081 0.0098
1.4292 -0.0125
1.4503 0.0506
1.4714 0.0083
1.4925 -0.0333
1.5136 0.1179
1.5347 0.0308
1.5558 0.0254
1.5769 0.0035
1.5980 0.0492
1.6191 0.0468
1.6402 0.0265
1.6613 0.0430
1.6825 0.0441
1.7036 0.0795
1.7247 0.0107
1.7458 0.0468
1.7670 -0.0104
1.7881 0.1197
1.8093 0.0483
1.8304 -0.0823
1.8516 -0.0005
1.8727 0.0686
1.8939 -0.0133
1.9151 0.0894
1.9362 0.0445
1.9574 0.0169
1.9786 -0.0485
1.9998 0.0273
2.0210 0.0915
2.0423 0.0074
2.0635 -0.0216
2.0847 -0.0220
2.1060 0.0143
2.1272 0.0913
2.1485 0.0893
2.1698 0.1077
2.1911 0.0575
2.2124 0.0283
2.2337 0.1008
2.2550 0.1286
2.2763 -0.0040
2.2977 0.0416
2.3190 0.0889
2.3404 0.0652
2.3618 0.0931
2.3832 0.0845
2.4046 0.0282
2.4260 0.0828
2.4475 0.1498
2.4689 -0.0164
2.4904 0.1040
2.5119 0.0448
2.5334 0.0585
2.5549 0.0199
